,0,1,2,3,4
248,[[4.59032846e-17]],2,0,[[1.56942566e-08]],False
249,[[1.56942566e-08]],2,0,[[1.]],False
250,[[1.]],2,0,[[1.]],False
251,[[1.]],2,0,[[2.9767935e-08]],False
252,[[2.9767935e-08]],2,0,[[6.49239621e-08]],False
253,[[6.49239621e-08]],2,0,[[0.00532512]],False
254,[[0.00532512]],2,0,[[7.81069343e-06]],False
255,[[7.81069343e-06]],2,0,[[8.35859064e-09]],False
256,[[8.35859064e-09]],2,0,[[1.]],False
257,[[1.]],2,0,[[0.95811359]],False
258,[[0.95811359]],2,0,[[0.99993021]],False
259,[[0.99993021]],2,0,[[1.]],False
260,[[1.]],2,0,[[1.20090982e-05]],False
261,[[1.20090982e-05]],2,0,[[0.99488281]],False
262,[[0.99488281]],2,0,[[1.09524942e-12]],False
263,[[1.09524942e-12]],2,0,[[1.27252882e-12]],False
264,[[1.27252882e-12]],2,0,[[0.99999999]],False
265,[[0.99999999]],2,0,[[3.9393318e-12]],False
266,[[3.9393318e-12]],2,0,[[1.]],False
267,[[1.]],1,0,[[1.]],False
268,[[1.]],1,0,[[0.0001994]],False
269,[[0.0001994]],1,0,[[1.]],False
270,[[1.]],2,41.670043999999734,[[0.00086661]],False
271,[[0.00086661]],2,5.439941999999974,[[0.00016164]],False
272,[[0.00016164]],2,5.229979999999614,[[1.]],False
273,[[1.]],2,0,[[0.48498976]],False
274,[[0.48498976]],2,0,[[1.]],False
275,[[1.]],2,0,[[0.9997986]],False
276,[[0.9997986]],2,0,[[0.96610804]],False
277,[[0.96610804]],2,0,[[0.34070457]],False
278,[[0.34070457]],2,0,[[0.09709031]],False
279,[[0.09709031]],2,0,[[0.99999737]],False
280,[[0.99999737]],2,0,[[0.34521557]],False
281,[[0.34521557]],2,0,[[0.99704138]],False
282,[[0.99704138]],2,0,[[0.16522239]],False
283,[[0.16522239]],2,0,[[0.04228503]],False
284,[[0.04228503]],2,0,[[0.00194608]],False
285,[[0.00194608]],2,0,[[0.99999748]],False
286,[[0.99999748]],2,0,[[6.70594471e-05]],False
287,[[6.70594471e-05]],2,0,[[9.61024155e-05]],False
288,[[9.61024155e-05]],2,0,[[0.92484059]],False
289,[[0.92484059]],2,0,[[1.16599781e-13]],False
290,[[1.16599781e-13]],2,0,[[0.99971704]],False
291,[[0.99971704]],2,0,[[4.81368782e-16]],False
292,[[4.81368782e-16]],2,0,[[0.01945425]],False
293,[[0.01945425]],2,0,[[1.]],False
294,[[1.]],2,0,[[3.54471589e-06]],False
295,[[3.54471589e-06]],2,0,[[1.]],False
296,[[1.]],2,0,[[0.00099685]],False
297,[[0.00099685]],2,0,[[1.]],False
298,[[1.]],2,0,[[3.607119e-05]],False
299,[[3.607119e-05]],2,0,[[0.99999999]],False
300,[[0.99999999]],2,0,[[0.02459821]],False
301,[[0.02459821]],2,0,[[2.44877062e-06]],False
302,[[2.44877062e-06]],2,0,[[5.96697621e-14]],False
303,[[5.96697621e-14]],2,0,[[0.00739046]],False
304,[[0.00739046]],2,0,[[0.99238596]],False
305,[[0.99238596]],2,0,[[1.]],False
306,[[1.]],2,0,[[1.07313442e-08]],False
307,[[1.07313442e-08]],2,0,[[0.00027459]],False
308,[[0.00027459]],2,0,[[0.99930439]],False
309,[[0.99930439]],2,0,[[0.99999883]],False
310,[[0.99999883]],2,0,[[0.01351912]],False
311,[[0.01351912]],2,0,[[0.99620332]],False
312,[[0.99620332]],2,0,[[0.99990674]],False
313,[[0.99990674]],2,0,[[0.99998117]],False
314,[[0.99998117]],2,0,[[6.57143844e-05]],False
315,[[6.57143844e-05]],2,0,[[0.96802043]],False
316,[[0.96802043]],2,0,[[0.99997939]],False
317,[[0.99997939]],2,0,[[0.16247962]],False
318,[[0.16247962]],2,0,[[4.56481516e-11]],False
319,[[4.56481516e-11]],2,0,[[1.]],False
320,[[1.]],2,0,[[0.04270224]],False
321,[[0.04270224]],2,0,[[0.99997677]],False
322,[[0.99997677]],2,0,[[0.99310453]],False
323,[[0.99310453]],2,0,[[0.99150721]],False
324,[[0.99150721]],2,0,[[0.0001553]],False
325,[[0.0001553]],2,0,[[0.99709985]],False
326,[[0.99709985]],2,0,[[0.00036695]],False
327,[[0.00036695]],2,0,[[5.39656656e-10]],False
328,[[5.39656656e-10]],2,0,[[1.]],False
329,[[1.]],2,0,[[0.99797458]],False
330,[[0.99797458]],2,0,[[1.34771023e-11]],False
331,[[1.34771023e-11]],2,0,[[9.05010138e-05]],False
332,[[9.05010138e-05]],2,0,[[0.99961044]],False
333,[[0.99961044]],2,0,[[1.]],False
334,[[1.]],2,0,[[2.10198985e-05]],False
335,[[2.10198985e-05]],2,0,[[0.00200529]],False
336,[[0.00200529]],2,0,[[0.34521557]],False
337,[[0.34521557]],2,0,[[1.]],False
338,[[1.]],2,0,[[0.83615347]],False
339,[[0.83615347]],2,0,[[0.99845313]],False
340,[[0.99845313]],2,0,[[0.20264037]],False
341,[[0.20264037]],2,0,[[0.12132097]],False
342,[[0.12132097]],2,0,[[0.99310452]],False
343,[[0.99310452]],2,0,[[0.00849279]],False
344,[[0.00849279]],2,0,[[3.20830554e-10]],False
345,[[3.20830554e-10]],2,0,[[1.]],False
346,[[1.]],2,0,[[0.06356953]],False
347,[[0.06356953]],2,0,[[1.51492062e-06]],False
348,[[1.51492062e-06]],2,0,[[0.98713234]],False
349,[[0.98713234]],2,0,[[0.10622619]],False
350,[[0.10622619]],2,0,[[0.98868191]],False
351,[[0.98868191]],2,0,[[1.21009725e-08]],False
352,[[1.21009725e-08]],2,0,[[0.0469757]],False
353,[[0.0469757]],2,0,[[1.30403102e-06]],False
354,[[1.30403102e-06]],2,0,[[0.70471927]],False
355,[[0.70471927]],2,0,[[1.]],False
356,[[1.]],2,0,[[0.97491685]],False
357,[[0.97491685]],2,0,[[3.927862e-07]],False
358,[[3.927862e-07]],2,0,[[6.25066561e-05]],False
359,[[6.25066561e-05]],2,0,[[0.99999293]],False
360,[[0.99999293]],2,0,[[0.98447875]],False
361,[[0.98447875]],2,0,[[1.]],False
362,[[1.]],2,0,[[1.30071285e-05]],False
363,[[1.30071285e-05]],2,0,[[0.9999974]],False
364,[[0.9999974]],2,0,[[0.79410559]],False
365,[[0.79410559]],2,0,[[1.64579325e-07]],False
366,[[1.64579325e-07]],2,0,[[0.00188862]],False
367,[[0.00188862]],2,0,[[0.30574901]],False
368,[[0.30574901]],2,0,[[9.03950901e-20]],False
369,[[9.03950901e-20]],2,0,[[0.99580732]],False
370,[[0.99580732]],2,0,[[0.99999939]],False
371,[[0.99999939]],2,0,[[0.34527073]],False
372,[[0.34527073]],2,0,[[0.00032871]],False
373,[[0.00032871]],2,0,[[0.99999656]],False
374,[[0.99999656]],2,0,[[8.85805742e-16]],False
375,[[8.85805742e-16]],2,0,[[0.99033952]],False
376,[[0.99033952]],2,0,[[1.]],False
377,[[1.]],2,0,[[1.]],False
378,[[1.]],2,0,[[0.99991303]],False
379,[[0.99991303]],2,0,[[0.17507919]],False
380,[[0.17507919]],2,0,[[0.99999995]],False
381,[[0.99999995]],2,0,[[0.91292262]],False
382,[[0.91292262]],2,0,[[0.83755344]],False
383,[[0.83755344]],2,0,[[0.00011505]],False
384,[[0.00011505]],2,0,[[0.00630518]],False
385,[[0.00630518]],2,0,[[6.1441746e-06]],False
386,[[6.1441746e-06]],2,0,[[1.69189792e-10]],False
387,[[1.69189792e-10]],2,0,[[6.08298467e-06]],False
388,[[6.08298467e-06]],2,0,[[1.]],False
389,[[1.]],2,0,[[0.99999978]],False
390,[[0.99999978]],2,0,[[0.51494929]],False
391,[[0.51494929]],2,0,[[0.00824561]],False
392,[[0.00824561]],2,0,[[0.00301827]],False
393,[[0.00301827]],2,0,[[0.00883665]],False
394,[[0.00883665]],2,0,[[0.99852853]],False
395,[[0.99852853]],2,0,[[8.50497817e-08]],False
396,[[8.50497817e-08]],2,0,[[0.00249743]],False
397,[[0.00249743]],2,0,[[1.]],False
398,[[1.]],2,0,[[1.8467029e-09]],False
399,[[1.8467029e-09]],2,0,[[0.87867914]],False
400,[[0.87867914]],2,0,[[0.0653658]],False
401,[[0.0653658]],2,0,[[0.99971139]],False
402,[[0.99971139]],2,0,[[0.99998154]],False
403,[[0.99998154]],2,0,[[0.00398979]],False
404,[[0.00398979]],2,0,[[3.03698642e-08]],False
405,[[3.03698642e-08]],2,0,[[8.77208798e-20]],False
406,[[8.77208798e-20]],2,0,[[6.92406273e-29]],False
407,[[6.92406273e-29]],2,0,[[1.83645882e-34]],False
408,[[1.83645882e-34]],2,0,[[7.62204812e-12]],False
409,[[7.62204812e-12]],2,0,[[1.]],False
410,[[1.]],2,0,[[1.]],False
411,[[1.]],2,0,[[0.77029205]],False
412,[[0.77029205]],1,0,[[5.64482777e-08]],False
413,[[5.64482777e-08]],1,0,[[4.65124264e-26]],False
414,[[4.65124264e-26]],2,0,[[1.]],False
415,[[1.]],2,0,[[0.90636349]],False
416,[[0.90636349]],2,0,[[1.02385223e-13]],False
417,[[1.02385223e-13]],2,0,[[1.]],False
418,[[1.]],2,0,[[1.29826157e-12]],False
419,[[1.29826157e-12]],2,0,[[0.99996464]],False
420,[[0.99996464]],0,0,[[0.99984314]],False
421,[[0.99984314]],2,0,[[0.00032871]],False
422,[[0.00032871]],2,0,[[1.]],False
423,[[1.]],2,0,[[0.99999997]],False
424,[[0.99999997]],2,0,[[0.00599922]],False
425,[[0.00599922]],2,0,[[1.06851443e-14]],False
426,[[1.06851443e-14]],2,0,[[0.99986897]],False
427,[[0.99986897]],2,0,[[2.99952824e-11]],False
428,[[2.99952824e-11]],2,0,[[0.01834325]],False
429,[[0.01834325]],2,0,[[0.00147147]],False
430,[[0.00147147]],2,0,[[0.28904557]],False
431,[[0.28904557]],2,0,[[2.96514533e-22]],False
432,[[2.96514533e-22]],2,0,[[0.91051554]],False
433,[[0.91051554]],2,0,[[1.]],False
434,[[1.]],2,0,[[0.97790188]],False
435,[[0.97790188]],2,0,[[1.]],False
436,[[1.]],2,0,[[1.]],False
437,[[1.]],2,0,[[0.00080007]],False
438,[[0.00080007]],2,0,[[0.99999988]],False
439,[[0.99999988]],2,0,[[0.99999998]],False
440,[[0.99999998]],2,0,[[0.81152671]],False
441,[[0.81152671]],2,0,[[0.92890213]],False
442,[[0.92890213]],2,0,[[1.04654003e-06]],False
443,[[1.04654003e-06]],2,0,[[7.8687229e-05]],False
444,[[7.8687229e-05]],2,0,[[1.]],False
445,[[1.]],2,0,[[0.9999039]],False
446,[[0.9999039]],2,0,[[0.63414696]],False
447,[[0.63414696]],2,0,[[0.05264942]],False
448,[[0.05264942]],2,0,[[7.28213636e-06]],False
449,[[7.28213636e-06]],2,0,[[1.]],False
450,[[1.]],2,0,[[1.]],False
451,[[1.]],2,0,[[0.01852437]],False
452,[[0.01852437]],2,0,[[0.00501627]],False
453,[[0.00501627]],2,0,[[1.]],False
454,[[1.]],2,0,[[0.28086277]],False
455,[[0.28086277]],2,0,[[4.31923054e-05]],False
456,[[4.31923054e-05]],2,0,[[1.]],False
457,[[1.]],2,0,[[0.9967955]],False
458,[[0.9967955]],2,0,[[0.00056395]],False
459,[[0.00056395]],2,0,[[0.08470072]],False
460,[[0.08470072]],2,0,[[0.3251989]],False
461,[[0.3251989]],2,0,[[1.10892695e-09]],False
462,[[1.10892695e-09]],1,0,[[0.95850863]],False
463,[[0.95850863]],1,0,[[0.00120512]],False
464,[[0.00120512]],2,0,[[2.46841738e-13]],False
465,[[2.46841738e-13]],2,0,[[1.10066983e-10]],False
466,[[1.10066983e-10]],2,0,[[1.]],False
467,[[1.]],2,0,[[0.06008665]],False
468,[[0.06008665]],2,0,[[1.]],False
469,[[1.]],2,0,[[0.08785686]],False
470,[[0.08785686]],2,0,[[0.99964032]],False
471,[[0.99964032]],2,0,[[0.0704476]],False
472,[[0.0704476]],2,0,[[0.92756041]],False
473,[[0.92756041]],2,0,[[0.43296209]],False
474,[[0.43296209]],2,0,[[0.77556227]],False
475,[[0.77556227]],2,0,[[6.1267792e-05]],False
476,[[6.1267792e-05]],2,0,[[1.]],False
477,[[1.]],2,0,[[9.10262672e-11]],False
478,[[9.10262672e-11]],2,0,[[1.04468271e-13]],False
479,[[1.04468271e-13]],2,0,[[1.]],False
480,[[1.]],2,0,[[4.47372862e-07]],False
481,[[4.47372862e-07]],2,0,[[1.39868031e-06]],False
482,[[1.39868031e-06]],2,0,[[1.15951584e-07]],False
483,[[1.15951584e-07]],2,0,[[0.9901461]],False
484,[[0.9901461]],2,0,[[4.88684389e-18]],False
485,[[4.88684389e-18]],2,0,[[0.99993021]],False
486,[[0.99993021]],2,0,[[1.]],False
487,[[1.]],2,0,[[1.]],False
488,[[1.]],2,0,[[2.87524619e-14]],False
489,[[2.87524619e-14]],2,0,[[1.65102365e-16]],False
490,[[1.65102365e-16]],2,0,[[0.99999983]],False
491,[[0.99999983]],2,0,[[0.99999998]],False
492,[[0.99999998]],0,0,[[1.]],False
493,[[1.]],0,0,[[0.03556951]],False
494,[[0.03556951]],0,0,[[0.01109625]],False
495,[[0.01109625]],0,0,[[1.]],False
496,[[1.]],0,0,[[3.05902227e-07]],False
497,[[3.05902227e-07]],2,0,[[3.68068852e-09]],False
498,[[3.68068852e-09]],2,0,[[2.6020102e-14]],False
499,[[2.6020102e-14]],2,0,[[0.98287474]],False
500,[[0.98287474]],2,0,[[3.25785862e-12]],False
501,[[3.25785862e-12]],2,0,[[3.26821169e-21]],False
502,[[3.26821169e-21]],2,0,[[7.14143638e-10]],False
503,[[7.14143638e-10]],1,0,[[0.83753698]],False
504,[[0.83753698]],1,0,[[0.9999997]],False
505,[[0.9999997]],2,16.650024999999914,[[9.55292171e-22]],False
506,[[9.55292171e-22]],2,0,[[1.]],False
507,[[1.]],2,0,[[9.3849446e-19]],False
